id	name	source	reference	confidence	roles
cpx00220	mscpx.220	ModelSEED	null	1.0	ftr09445;triggering;0;1
cpx00221	mscpx.221	ModelSEED	null	1.0	null
cpx00222	mscpx.222	ModelSEED	null	1.0	ftr02970;triggering;0;1
cpx00223	mscpx.223	ModelSEED	null	1.0	ftr07261;triggering;0;1|ftr03628;triggering;0;1
cpx00224	mscpx.224	ModelSEED	null	1.0	ftr01745;triggering;0;1
cpx00225	mscpx.225	ModelSEED	null	1.0	ftr08443;triggering;0;1
cpx00226	mscpx.226	ModelSEED	null	1.0	ftr08442;triggering;0;1
cpx00227	mscpx.227	ModelSEED	null	1.0	ftr10960;triggering;0;1
cpx00228	mscpx.228	ModelSEED	null	1.0	ftr00675;triggering;0;1
cpx00229	mscpx.229	ModelSEED	null	1.0	null
cpx00230	mscpx.230	ModelSEED	null	1.0	null
cpx00231	mscpx.231	ModelSEED	null	1.0	ftr02972;triggering;0;1
cpx00232	mscpx.232	ModelSEED	null	1.0	ftr01154;triggering;0;1|ftr02193;triggering;0;1|ftr02195;triggering;0;1
cpx00233	mscpx.233	ModelSEED	null	1.0	ftr02461;triggering;0;1
cpx00234	mscpx.234	ModelSEED	null	1.0	ftr01240;triggering;0;1
cpx00235	mscpx.235	ModelSEED	null	1.0	ftr02443;triggering;0;1|ftr02414;triggering;0;1
cpx00236	mscpx.236	ModelSEED	null	1.0	ftr02469;triggering;0;1
cpx00237	mscpx.237	ModelSEED	null	1.0	ftr02356;triggering;0;1|ftr02354;triggering;0;1|ftr02355;triggering;0;1|ftr02357;triggering;0;1
cpx00238	mscpx.238	ModelSEED	null	1.0	ftr04431;triggering;0;1
cpx00239	mscpx.239	ModelSEED	null	1.0	ftr02983;triggering;0;1
cpx00240	mscpx.240	ModelSEED	null	1.0	ftr06308;triggering;0;1
cpx00241	mscpx.241	ModelSEED	null	1.0	ftr01618;triggering;0;1
cpx00242	mscpx.242	ModelSEED	null	1.0	ftr09649;triggering;0;1
cpx00243	mscpx.243	ModelSEED	null	1.0	null
cpx00244	mscpx.244	ModelSEED	null	1.0	ftr01421;triggering;0;1|ftr04743;triggering;0;1
cpx00245	mscpx.245	ModelSEED	null	1.0	ftr04860;triggering;0;1
cpx00246	mscpx.246	ModelSEED	null	1.0	ftr03043;triggering;0;1
cpx00247	mscpx.247	ModelSEED	null	1.0	ftr07565;triggering;0;1|ftr07564;triggering;0;1
cpx00248	mscpx.248	ModelSEED	null	1.0	ftr00010;triggering;0;1
cpx00249	mscpx.249	ModelSEED	null	1.0	ftr02124;triggering;0;1
cpx00250	mscpx.250	ModelSEED	null	1.0	null
cpx00251	mscpx.251	ModelSEED	null	1.0	ftr06119;triggering;0;1
cpx00252	mscpx.252	ModelSEED	null	1.0	ftr03026;triggering;0;1
cpx00253	mscpx.253	ModelSEED	null	1.0	ftr01613;triggering;0;1
cpx00254	mscpx.254	ModelSEED	null	1.0	ftr11098;triggering;0;1
cpx00255	mscpx.255	ModelSEED	null	1.0	ftr09676;triggering;0;1
cpx00256	mscpx.256	ModelSEED	null	1.0	ftr01100;triggering;0;1
cpx00257	mscpx.257	ModelSEED	null	1.0	ftr02477;triggering;0;1
cpx00258	mscpx.258	ModelSEED	null	1.0	ftr02468;triggering;0;1
cpx00259	mscpx.259	ModelSEED	null	1.0	ftr05919;triggering;0;1
cpx00260	mscpx.260	ModelSEED	null	1.0	ftr05920;triggering;0;1
cpx00261	mscpx.261	ModelSEED	null	1.0	ftr02567;triggering;0;1
cpx00262	mscpx.262	ModelSEED	null	1.0	ftr02136;triggering;0;1
cpx00263	mscpx.263	ModelSEED	null	1.0	ftr00011;triggering;0;1
cpx00264	mscpx.264	ModelSEED	null	1.0	ftr09958;triggering;0;1
cpx00265	mscpx.265	ModelSEED	null	1.0	ftr09953;triggering;0;1
cpx00266	mscpx.266	ModelSEED	null	1.0	ftr09954;triggering;0;1
cpx00267	mscpx.267	ModelSEED	null	1.0	ftr02165;triggering;0;1
cpx00268	mscpx.268	ModelSEED	null	1.0	ftr02568;triggering;0;1
cpx00269	mscpx.269	ModelSEED	null	1.0	ftr02134;triggering;0;1
cpx00270	mscpx.270	ModelSEED	null	1.0	ftr02166;triggering;0;1
cpx00271	mscpx.271	ModelSEED	null	1.0	ftr09156;triggering;0;1
cpx00272	mscpx.272	ModelSEED	null	1.0	ftr09158;triggering;0;1
cpx00273	mscpx.273	ModelSEED	null	1.0	ftr02412;triggering;0;1
cpx00274	mscpx.274	ModelSEED	null	1.0	ftr09950;triggering;0;1
cpx00275	mscpx.275	ModelSEED	null	1.0	ftr09951;triggering;0;1
cpx00276	mscpx.276	ModelSEED	null	1.0	ftr02133;triggering;0;1
cpx00277	mscpx.277	ModelSEED	null	1.0	ftr09959;triggering;0;1
cpx00278	mscpx.278	ModelSEED	null	1.0	ftr02135;triggering;0;1
